iso_a3,neighbors
ATG,
-99,
BLM,
ABW,
BMU,
AIA,
BRB,
BHS,
BLZ,"GTM, MEX"
DMA,
CRI,"NIC, PAN"
CYM,
CUB,-99
DOM,HTI
CUW,
GRD,
GTM,"BLZ, HND, MEX, SLV"
JAM,
HND,"GTM, NIC, SLV"
KNA,
HTI,DOM
LCA,
MSR,
MAF,SXM
SXM,MAF
MEX,"BLZ, GTM, USA"
-99,
SPM,
PRI,
NIC,"CRI, HND"
SLV,"GTM, HND"
PAN,"COL, CRI"
TCA,
TTO,
GRL,
UMI,
VCT,
-99,
BOL,"ARG, BRA, CHL, PER, PRY"
VIR,
VGB,
ARG,"BOL, BRA, CHL, PRY, URY"
CAN,USA
ECU,"COL, PER"
GUY,"BRA, SUR, VEN"
FLK,
COL,"BRA, ECU, PAN, PER, VEN"
PRY,"ARG, BOL, BRA"
BRA,"-99, ARG, BOL, COL, GUY, PER, PRY, SUR, URY, VEN"
SUR,"-99, BRA, GUY"
PER,"BOL, BRA, CHL, COL, ECU"
AFG,"CHN, IRN, PAK, TJK, TKM, UZB"
CHL,"ARG, BOL, PER"
ARE,"OMN, SAU"
URY,"ARG, BRA"
ARM,"AZE, GEO, IRN, TUR"
BHR,
AZE,"ARM, GEO, IRN, RUS, TUR"
BGD,"IND, MMR"
VEN,"BRA, COL, GUY"
USA,"CAN, MEX"
BRN,MYS
BTN,"CHN, IND"
-99,
-99,
CYP,-99
GEO,"ARM, AZE, RUS, TUR"
HKG,CHN
-99,
-99,
IRQ,"IRN, JOR, KWT, SAU, SYR, TUR"
ISR,"EGY, JOR, LBN, PSE, SYR"
IND,"-99, BGD, BTN, CHN, MMR, NPL, PAK"
CHN,"-99, AFG, BTN, HKG, IND, KAZ, KGZ, LAO, MMR, MNG, NPL, PAK, PRK, RUS, TJK, VNM"
IRN,"AFG, ARM, AZE, IRQ, PAK, TKM, TUR"
-99,
-99,
JOR,"IRQ, ISR, PSE, SAU, SYR"
KWT,"IRQ, SAU"
KGZ,"CHN, KAZ, TJK, UZB"
KHM,"LAO, THA, VNM"
KOR,PRK
IDN,"MYS, PNG, TLS"
KAZ,"-99, CHN, KGZ, RUS, TKM, UZB"
MAC,
JPN,
LBN,"ISR, SYR"
LAO,"CHN, KHM, MMR, THA, VNM"
LKA,
MMR,"BGD, CHN, IND, LAO, THA"
MNG,"CHN, RUS"
PSE,"EGY, ISR, JOR"
MYS,"BRN, IDN, THA"
PAK,"-99, AFG, CHN, IND, IRN"
NPL,"CHN, IND"
-99,
OMN,"ARE, SAU, YEM"
PRK,"CHN, KOR, RUS"
PHL,
THA,"KHM, LAO, MMR, MYS"
QAT,SAU
SGP,
-99,
SYR,"IRQ, ISR, JOR, LBN, TUR"
SAU,"ARE, IRQ, JOR, KWT, OMN, QAT, YEM"
TLS,IDN
TKM,"AFG, IRN, KAZ, UZB"
-99,
TJK,"AFG, CHN, KGZ, UZB"
BDI,"COD, RWA, TZA"
AGO,"COD, COG, NAM, ZMB"
TUR,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR"
BEN,"BFA, NER, NGA, TGO"
BWA,"NAM, ZAF, ZMB, ZWE"
CAF,"CMR, COD, COG, SDN, SSD, TCD"
CIV,"BFA, GHA, GIN, LBR, MLI"
TWN,
VNM,"CHN, KHM, LAO"
UZB,"AFG, KAZ, KGZ, TJK, TKM"
YEM,"OMN, SAU"
COD,"AGO, BDI, CAF, COG, RWA, SSD, TZA, UGA, ZMB"
BFA,"BEN, CIV, GHA, MLI, NER, TGO"
CMR,"CAF, COG, GAB, GNQ, NGA, TCD"
CPV,
COM,
COG,"AGO, CAF, CMR, COD, GAB"
DJI,"-99, ERI, ETH"
DZA,"ESH, LBY, MAR, MLI, MRT, NER, TUN"
EGY,"ISR, LBY, PSE, SDN"
GMB,SEN
GNB,"GIN, SEN"
ETH,"-99, DJI, ERI, KEN, SDN, SOM, SSD"
GAB,"CMR, COG, GNQ"
GIN,"CIV, GNB, LBR, MLI, SEN, SLE"
GHA,"BFA, CIV, TGO"
ERI,"DJI, ETH, SDN"
GNQ,"CMR, GAB"
MDG,
LSO,ZAF
LBY,"DZA, EGY, NER, SDN, TCD, TUN"
LBR,"CIV, GIN, SLE"
MAR,"DZA, ESH, ESP"
KEN,"ETH, SOM, SSD, TZA, UGA"
MLI,"BFA, CIV, DZA, GIN, MRT, NER, SEN"
MOZ,"MWI, SWZ, TZA, ZAF, ZMB, ZWE"
MRT,"DZA, ESH, MLI, SEN"
NAM,"AGO, BWA, ZAF, ZMB, ZWE"
MWI,"MOZ, TZA, ZMB"
NER,"BEN, BFA, DZA, LBY, MLI, NGA, TCD"
SSD,"CAF, COD, ETH, KEN, SDN, UGA"
ESH,"DZA, MAR, MRT"
SDN,"CAF, EGY, ERI, ETH, LBY, SSD, TCD"
RWA,"BDI, COD, TZA, UGA"
NGA,"BEN, CMR, NER, TCD"
SEN,"GIN, GMB, GNB, MLI, MRT"
SOM,"-99, ETH, KEN"
-99,
SLE,"GIN, LBR"
TGO,"BEN, BFA, GHA"
TCD,"CAF, CMR, LBY, NER, NGA, SDN"
SWZ,"MOZ, ZAF"
STP,
TUN,"DZA, LBY"
UGA,"COD, KEN, RWA, SSD, TZA"
TZA,"BDI, COD, KEN, MOZ, MWI, RWA, UGA, ZMB"
ZMB,"AGO, BWA, COD, MOZ, MWI, NAM, TZA, ZWE"
ZWE,"BWA, MOZ, NAM, ZAF, ZMB"
ZAF,"BWA, LSO, MOZ, NAM, SWZ, ZWE"
AND,"-99, ESP"
AUT,"CHE, CZE, DEU, HUN, ITA, LIE, SVK, SVN"
BGR,"GRC, MKD, ROU, SRB, TUR"
BEL,"-99, DEU, LUX, NLD"
ALB,"-99, GRC, MKD, MNE"
BIH,"HRV, MNE, SRB"
BLR,"LTU, LVA, POL, RUS, UKR"
CZE,"AUT, DEU, POL, SVK"
CHE,"-99, AUT, DEU, ITA, LIE"
ALA,
ESP,"-99, AND, GIB, MAR, PRT"
EST,"LVA, RUS"
DEU,"-99, AUT, BEL, CHE, CZE, DNK, LUX, NLD, POL"
FIN,"-99, RUS, SWE"
GGY,
DNK,DEU
GIB,ESP
IMN,
GBR,IRL
IRL,GBR
HRV,"BIH, HUN, MNE, SRB, SVN"
HUN,"AUT, HRV, ROU, SRB, SVK, SVN, UKR"
GRC,"ALB, BGR, MKD, TUR"
ITA,"-99, AUT, CHE, SMR, SVN, VAT"
-99,
LIE,"AUT, CHE"
LUX,"-99, BEL, DEU"
ISL,
JEY,
-99,
MCO,-99
MLT,
MNE,"-99, ALB, BIH, HRV, SRB"
LVA,"BLR, EST, LTU, RUS"
LTU,"BLR, LVA, POL, RUS"
FRO,
MDA,"ROU, UKR"
MKD,"-99, ALB, BGR, GRC, SRB"
POL,"BLR, CZE, DEU, LTU, RUS, SVK, UKR"
ROU,"BGR, HUN, MDA, SRB, UKR"
NLD,"BEL, DEU"
PRT,ESP
SRB,"-99, BGR, BIH, HRV, HUN, MKD, MNE, ROU"
SMR,ITA
VAT,ITA
SVN,"AUT, HRV, HUN, ITA"
SVK,"AUT, CZE, HUN, POL, UKR"
UKR,"BLR, HUN, MDA, POL, ROU, RUS, SVK"
ASM,
-99,
-99,
SWE,"-99, FIN"
COK,
GUM,
-99,
FSM,
FJI,
KIR,
MHL,
MNP,
AUS,
NFK,
NIU,
NCL,
RUS,"-99, AZE, BLR, CHN, EST, FIN, GEO, KAZ, LTU, LVA, MNG, POL, PRK, UKR"
NRU,
PLW,
PCN,
NZL,
PNG,IDN
PYF,
TUV,
TON,
SLB,
WSM,
VUT,
WLF,
